+----------------------------------------------------------------+
|   №  |  Token               |   Info                           |
+----------------------------------------------------------------+
|  81    |,                                  |COMA                                                
|  81    |int                                |DATA TYPE                                           
|  81    |h                                  |VARIABLE (INT)                                      
|  81    |)                                  |PARENTHESIS                                         
|  81    |{                                  |PARENTHESIS                                         
|  81    |}                                  |PARENTHESIS                                         
|  83    |void                               |DATA TYPE                                           
|  83    |setWidth                           |FUNCTION CALL                                       
|  83    |(                                  |PARENTHESIS                                         
|  83    |int                                |DATA TYPE                                           
|  83    |w                                  |VARIABLE (INT)                                      
|  83    |)                                  |PARENTHESIS                                         
|  83    |{                                  |PARENTHESIS                                         
|  84    |width                              |VARIABLE (INT)                                      
|  84    |=                                  |ASSIGNMENT OPERATOR                                 
|  84    |w                                  |VARIABLE (INT)                                      
|  84    |;                                  |END OF CONSTRUCTION                                 
|  85    |}                                  |PARENTHESIS                                         
|  87    |void                               |DATA TYPE                                           
|  87    |setHeight                          |FUNCTION CALL                                       
|  87    |(                                  |PARENTHESIS                                         
|  87    |int                                |DATA TYPE                                           
|  87    |h                                  |VARIABLE (INT)                                      
|  87    |)                                  |PARENTHESIS                                         
|  87    |{                                  |PARENTHESIS                                         
|  88    |height                             |VARIABLE (INT)                                      
|  88    |=                                  |ASSIGNMENT OPERATOR                                 
|  88    |h                                  |VARIABLE (INT)                                      
|  88    |;                                  |END OF CONSTRUCTION                                 
|  89    |}                                  |PARENTHESIS                                         
|  91    |int                                |DATA TYPE                                           
|  91    |getWidth                           |FUNCTION CALL                                       
|  91    |(                                  |PARENTHESIS                                         
|  91    |)                                  |PARENTHESIS                                         
|  91    |const                              |KEYWORD                                             
|  91    |{                                  |PARENTHESIS                                         
|  92    |return                             |KEYWORD                                             
|  92    |width                              |VARIABLE (INT)                                      
|  92    |;                                  |END OF CONSTRUCTION                                 
|  93    |}                                  |PARENTHESIS                                         
|  95    |int                                |DATA TYPE                                           
|  95    |getHeight                          |FUNCTION CALL                                       
|  95    |(                                  |PARENTHESIS                                         
|  95    |)                                  |PARENTHESIS                                         
|  95    |const                              |KEYWORD                                             
|  95    |{                                  |PARENTHESIS                                         
|  96    |return                             |KEYWORD                                             
|  96    |height                             |VARIABLE (INT)                                      
|  96    |;                                  |END OF CONSTRUCTION                                 
|  97    |}                                  |PARENTHESIS                                         
|  99    |int                                |DATA TYPE                                           
|  99    |area                               |FUNCTION CALL                                       
|  99    |(                                  |PARENTHESIS                                         
|  99    |)                                  |PARENTHESIS                                         
|  99    |const                              |KEYWORD                                             
|  99    |{                                  |PARENTHESIS                                         
|  100   |return                             |KEYWORD                                             
|  100   |width                              |VARIABLE (INT)                                      
|  100   |*                                  |ARITHMETIC OPERATOR                                 
|  100   |height                             |VARIABLE (INT)                                      
|  100   |;                                  |END OF CONSTRUCTION                                 
|  101   |}                                  |PARENTHESIS                                         
|  102   |}                                  |PARENTHESIS                                         
|  102   |;                                  |END OF CONSTRUCTION                                 
|  104   |void                               |DATA TYPE                                           
|  104   |test_rect                          |FUNCTION CALL                                       
|  104   |(                                  |PARENTHESIS                                         
|  104   |)                                  |PARENTHESIS                                         
|  104   |{                                  |PARENTHESIS                                         
|  105   |int                                |DATA TYPE                                           
|  105   |a                                  |VARIABLE (INT)                                      
|  105   |;                                  |END OF CONSTRUCTION                                 
|  107   |Rectangle                          |CLASS                                               
|  107   |rect                               |OBJECT OF Rectangle                                 
|  107   |(                                  |PARENTHESIS                                         
|  107   |5                                  |INTEGER                                             
|  107   |,                                  |COMA                                                
|  107   |3                                  |INTEGER                                             
|  107   |)                                  |PARENTHESIS                                         
|  107   |;                                  |END OF CONSTRUCTION                                 
|  109   |std                                |NAMESPACE                                           
|  109   |::                                 |DOUBLE COLON                                        
|  109   |cout                               |KEYWORD                                             
|  109   |<<                                 |OPERATOR                                            
|  109   |"Width: "                          |STRING                                              
|  109   |<<                                 |OPERATOR                                            
|  109   |rect                               |OBJECT OF Rectangle                                 
|  109   |.                                  |OPERATOR                                            
|  109   |getWidth                           |FUNCTION CALL                                       
|  109   |(                                  |PARENTHESIS                                         
|  109   |)                                  |PARENTHESIS                                         
|  109   |<<                                 |OPERATOR                                            
